WORD: FREQUENCY
figures: 2
chess: 12
plotting: 1
haveera: 1
climb: 1
marshmallowsand: 1
english: 1
state: 2
dentists: 1
surprising: 1
find: 48
hopeful: 1
onout: 1
duster: 1
librarian: 1
franticallyand: 1
advanced: 1
containing: 1
restricted: 6
steel: 1
staff: 2
wandered: 2
random: 1
titles: 2
recent: 4
discoveries: 2
loomed: 1
wellchosen: 1
fromimportant: 1
smiled: 13
ingreat: 1
searching: 1
silly: 3
calledcome: 1
nonexplodable: 1
flatly: 2
hinti: 1
runnin: 1
anywherejust: 1
bill: 5
lotta: 1
dogs: 8
reserve: 1
youre: 52
yehdrop: 1
straying: 1
shockedlisten: 1
quaver: 1
corned: 1
youwhat: 1
trailing: 2
quiver: 3
art: 1
icicles: 1
treasure: 2
spectacular: 2
waffle: 1
smirking: 1
insultin: 1
fluttering: 4
palace: 1
supposethat: 1
nnot: 1
feed: 2
creepers: 1
swooping: 5
hi: 1
lionfish: 1
gales: 1
spine: 1
health: 1
gred: 1
easter: 1
stormy: 1
askin: 3
battle: 3
pacing: 1
league: 1
froze: 1
will: 88
snow: 3
december: 1
usually: 11
mid: 1
erised: 6
birdcage: 1
stools: 2
aha: 1
tartan: 1
wailedive: 1
concern: 2
yehyer: 1
boat: 10
hotly: 1
tellin: 1
yeari: 1
skipping: 1
minebought: 1
tibbles: 1
fluffy: 23
resultsgryffindor: 1
watering: 1
differenceharry: 1
havin: 1
didntcatch: 1
fourscoughedand: 1
noiselessly: 1
rowsnape: 1
momgeroff: 1
yelp: 1
hem: 1
crouched: 1
vibrating: 1
somethingjinxing: 1
piers: 15
frantically: 2
magicno: 1
killers: 1
cheering: 6
professorslytherins: 1
bearded: 1
quafflepasses: 1
fit: 3
commentating: 1
wrote: 1
unseated: 1
peered: 7
goalpostshe: 1
riders: 1
fires: 2
ube: 1
buck: 2
lurch: 1
think: 120
shelves: 6
pomfreywould: 1
penalty: 3
life: 37
horn: 1
coulda: 1
jerking: 1
ref: 1
handy: 1
skin: 5
specially: 1
belowmarcus: 1
aheadhe: 1
endof: 1
murmur: 1
nagging: 2
sheet: 1
momentwas: 1
thewait: 1
ducks: 1
hushing: 1
memory: 2
handsome: 2
nope: 1
watchin: 1
angelinakeeper: 1
aheadcome: 1
flyingdodges: 1
sons: 1
andoff: 1
saidat: 1
seemedto: 1
greeted: 1
possession: 5
whichnice: 1
blocked: 4
pucey: 3
slytherinsthats: 1
rows: 3
substitutes: 1
slope: 1
bludgerquaffle: 1
scooping: 1
stench: 1
testing: 1
according: 1
katie: 1
parchment: 9
pickled: 1
reserveback: 1
belting: 1
numbly: 1
commentary: 1
offouch: 1
attractive: 1
meharry: 1
fifteen: 2
hiseye: 1
marcus: 4
performed: 2
duffers: 1
banner: 3
hitting: 3
painted: 1
pitch: 2
dawned: 1
calledquidditch: 1
mistaking: 3
snoring: 1
saints: 1
nohe: 1
courageous: 1
diversion: 1
broomstickhe: 1
fifty: 17
encouraging: 1
evenblimeydumbledores: 1
striped: 1
wasn: 2
means: 5
outout: 1
bandages: 1
ajar: 4
answers: 1
peeling: 2
hurting: 1
sacked: 2
dddont: 1
limped: 2
whove: 1
unfortunately: 4
limping: 1
jar: 2
thirdto: 1
conjured: 1
relaxed: 1
guilty: 2
facing: 9
desert: 1
fastest: 1
longing: 1
spun: 1
jinx: 1
committing: 1
thousands: 7
himquidditch: 1
mattress: 1
black: 55
leaked: 1
versus: 1
positively: 1
season: 1
fur: 1
moleskin: 2
bundled: 1
frost: 1
chilled: 1
november: 1
jim: 2
twelvefoot: 1
chimed: 1
ending: 1
bills: 3
sniveled: 1
chaser: 5
saidthanks: 1
embarrassed: 2
sparkling: 4
noisy: 2
saving: 1
produces: 1
wedid: 1
throats: 1
hurt: 13
wellin: 1
says: 12
fetch: 1
ii: 3
mcgonagallthey: 1
weatherman: 1
messin: 1
swift: 1
whimper: 1
bursting: 4
still: 90
begun: 1
roars: 1
fan: 1
overheard: 1
crashes: 1
uncleso: 1
mixing: 2
drawl: 1
celebrating: 5
racket: 2
urghtroll: 1
ordered: 3
tremble: 1
handle: 8
flint: 12
swayed: 2
cousin: 3
wandnot: 1
shifty: 1
fright: 1
flailed: 1
jumpedit: 1
berserk: 1
mastered: 1
driving: 2
shouting: 3
catching: 1
ugly: 1
television: 8
humans: 3
brotherwhy: 1
brain: 3
smatter: 1
pea: 1
nowhere: 3
lifting: 1
suggest: 4
lumbered: 1
lie: 6
unused: 1
owlery: 4
seizing: 1
desperately: 3
confuse: 1
elsesomething: 1
advancing: 1
shrinking: 1
trembled: 3
mumbling: 1
choice: 4
secondto: 1
victory: 2
horny: 1
boulder: 1
paying: 1
emerged: 1
footfalls: 1
rigged: 1
foul: 4
herself: 8
fading: 2
wont: 25
deserted: 1
finest: 1
immediately: 4
firecrackers: 1
askew: 2
hoarse: 3
sprinting: 2
stutter: 2
phone: 1
bats: 1
decorations: 2
uncomfortable: 1
glimpse: 1
twins: 23
nightmare: 2
pains: 1
noseonly: 1
saidwingardium: 1
youof: 1
sleeves: 2
winggardium: 1
whether: 9
windmill: 1
leviosa: 4
spectacularly: 1
sending: 2
swished: 1
nursed: 1
clambered: 6
buffalo: 1
nodded: 10
toonever: 1
practicing: 3
spoken: 1
goyle: 22
angrier: 1
announced: 2
pocus: 1
service: 1
differenti: 1
wafting: 1
talked: 2
using: 1
paused: 2
baking: 1
hills: 1
basics: 1
england: 2
trudged: 1
chasin: 1
cupll: 1
tied: 2
golf: 2
itany: 1
made: 66
months: 4
bid: 1
doughnuts: 1
gran: 4
weave: 1
spray: 2
woodis: 1
beautiful: 3
yeahbut: 1
tallest: 3
should: 43
surrounded: 1
member: 1
offhand: 1
reeled: 1
edging: 1
awkward: 1
youa: 1
guards: 1
sothink: 1
post: 2
fromthe: 1
saidit: 1
rocket: 1
strapping: 1
bludger: 6
and: 1862
explodedget: 1
crabbe: 20
zoomed: 1
pawed: 2
curled: 3
airit: 1
pelted: 1
secrets: 1
freed: 1
chip: 2
shallowsno: 1
suspension: 1
straining: 2
bludgers: 12
basketball: 2
sothats: 1
recited: 1
somebodys: 1
score: 4
quaffle: 16
crate: 12
month: 4
goal: 6
contrary: 2
bubbles: 2
bolted: 2
disapprovingly: 1
stomping: 1
woulnt: 1
whinging: 1
smothering: 1
flashy: 1
alley: 8
comet: 1
resist: 1
jealousy: 1
barred: 1
eventouched: 1
mustachemotorcycles: 1
glee: 2
heavy: 12
difficulty: 2
session: 2
slightest: 1
couldve: 3
f: 1
septemberkings: 1
clues: 2
valuable: 2
rumor: 1
cheerful: 3
pplaces: 1
hideexcept: 1
guarding: 14
brandished: 1
nonot: 1
againyou: 1
surely: 3
carpets: 1
backwardharry: 1
thunderous: 1
wider: 1
ropes: 5
theyre: 36
schools: 2
ravenclawwould: 1
mouths: 2
monstrous: 2
aroundand: 1
minutewhat: 1
exchanged: 1
banquet: 4
okaygetoff: 1
whooshing: 1
haaa: 1
openthey: 1
shoulderbut: 1
helplessly: 1
learned: 10
dramaticallyis: 1
doorand: 1
lives: 3
bellowed: 4
wickedly: 1
pocusi: 1
prefectsmy: 1
straightening: 1
saintly: 1
direct: 2
withhappy: 1
ounce: 2
doorknob: 1
stitch: 1
silencethe: 1
crashing: 2
suit: 4
simple: 3
petrified: 4
madly: 2
statues: 2
cases: 1
arrow: 1
flitted: 2
bogies: 2
mended: 1
ladys: 1
snout: 7
squinting: 5
pushing: 3
staffroom: 2
dyou: 5
switching: 1
objects: 1
tree: 14
yourselvesi: 1
youcare: 1
bright: 20
percyhes: 1
fuller: 1
bathrobe: 4
roaming: 1
shadows: 6
thump: 1
hunched: 2
embers: 1
beforeand: 1
rear: 2
twigs: 2
yellingsend: 1
bathrobes: 2
darknessthis: 1
looming: 1
dodge: 1
blacks: 1
goodbye: 1
selfish: 1
tracks: 3
youmustnt: 1
closern: 1
malfoyll: 1
ignoring: 1
duels: 1
otherwhat: 1
sizing: 1
wheeling: 2
onlyno: 1
flanked: 1
gregory: 1
toobeaters: 1
helping: 2
amazed: 3
yearsneveryou: 1
passersby: 2
pie: 3
player: 4
punishing: 1
blocking: 1
yearflattened: 1
cleansweep: 1
build: 1
clue: 2
tasty: 1
wellyeahhow: 1
crisply: 1
delight: 3
seeker: 13
building: 2
woodive: 1
clanged: 1
fifth: 2
stoked: 1
burly: 1
assistant: 1
lasted: 2
defend: 1
noproof: 1
bigger: 3
triumphant: 1
thatsenough: 1
fault: 3
speechless: 2
himin: 1
neverin: 1
dived: 6
rigid: 1
handa: 1
enoughim: 1
mingled: 1
onhe: 1
couldn: 1
brooding: 1
dive: 6
downnext: 1
platforms: 6
gasps: 2
not: 223
screams: 2
waswonderful: 1
goose: 1
rush: 2
soared: 2
peculiar: 3
pansy: 1
moveyoull: 1
spluttering: 1
grangermadam: 1
resolution: 1
grades: 1
moonlight: 6
topmost: 1
triumph: 1
ancient: 2
languages: 1
mixed: 4
filchs: 5
aboutup: 1
completely: 6
tin: 1
findhow: 1
postcard: 3
breathed: 2
concentrating: 1
nastily: 2
longbottoms: 1
risky: 1
gorilla: 1
snatching: 1
responsible: 1
darting: 2
crybabies: 1
fourfirst: 1
thoughtyoud: 1
signed: 2
flashing: 1
cough: 1
sticking: 4
sooner: 3
hobbled: 1
disappearing: 1
tear: 1
norwegian: 4
largest: 1
boyits: 2
goodwell: 1
falling: 2
flamels: 3
cork: 1
cure: 1
built: 1
rising: 3
gruffly: 3
team: 27
cracking: 2
thereor: 1
steady: 2
whatre: 1
grips: 1
catch: 23
mount: 2
horses: 2
vibrate: 1
partner: 3
sloping: 1
youknew: 1
breezy: 1
bombing: 1
tells: 1
hideyou: 1
yer: 52
thingsthis: 1
mustache: 5
tips: 1
bedtime: 1
obvious: 4
booknot: 1
accidents: 2
ham: 2
angelina: 3
borrowed: 3
classrooms: 2
thomas: 2
gotta: 7
talkedabout: 1
meters: 1
sayor: 1
saidim: 1
glider: 1
narrowly: 1
thursdayand: 1
agesi: 1
lawn: 1
somethings: 3
frog: 8
groan: 1
hand: 67
sheer: 1
collected: 1
weighed: 1
thieves: 1
ghoulie: 1
herehow: 1
dayhagrid: 1
mightve: 1
meeting: 5
date: 2
searched: 2
breakin: 1
vicious: 1
lotgreat: 1
myself: 9
developments: 2
puts: 2
git: 2
peevsie: 1
bottletwelve: 1
goesflint: 1
lumps: 1
excitedly: 6
pouring: 1
bounded: 2
yerselves: 1
volsorryyouknowwho: 1
georges: 1
massive: 2
boiling: 3
hams: 1
collar: 1
struggling: 4
ridgeback: 4
cane: 1
fang: 15
saidback: 1
very: 170
fangback: 1
sayingback: 1
highway: 1
gangling: 1
barks: 1
booming: 1
frantic: 1
galoshes: 1
weekwhy: 1
pleaded: 1
murmured: 7
unfair: 1
add: 3
youpotterwhy: 1
whimpered: 1
porcupine: 1
eggs: 4
spilled: 1
grinding: 1
fouled: 1
bewitched: 5
clearing: 10
itslocomotor: 1
sprang: 7
drenched: 1
nonstop: 1
needrest: 1
piercing: 4
holes: 1
seeping: 1
stewed: 1
whom: 1
breaking: 8
criticizing: 1
thanked: 1
trunks: 4
nettles: 1
saidand: 2
aconite: 1
plant: 10
totalus: 1
poisons: 1
save: 9
filthy: 1
secondary: 1
freedom: 1
goat: 1
itharry: 1
draught: 1
commit: 1
panels: 1
seamuss: 2
stretching: 3
detentions: 1
hook: 2
wolfsbane: 2
monkshood: 2
bull: 1
latest: 2
faintest: 2
bezoar: 3
infusion: 2
sweating: 1
shoot: 2
asphodel: 2
moans: 1
root: 2
powdered: 3
dunderhead: 1
proving: 1
times: 18
wake: 9
dunderheads: 1
fame: 1
bewitching: 2
show: 12
chained: 1
shimmering: 1
kettle: 3
snapeshe: 1
roaring: 3
parrot: 1
beauty: 1
effort: 3
wiping: 5
circles: 1
science: 1
calling: 2
newcelebrity: 1
onward: 2
harryhehated: 1
awhat: 2
disliked: 1
startofterm: 1
pocketed: 1
brains: 3
reckons: 3
sent: 16
scribbledyes: 1
duel: 4
bell: 4
afternoons: 2
squinted: 1
dying: 4
laps: 1
owners: 2
enemy: 1
favors: 2
sugar: 2
chains: 1
protected: 2
stuffed: 3
ends: 3
directions: 2
insisted: 2
apothecary: 3
fought: 3
believed: 5
breathe: 5
lazily: 1
perform: 1
troublesome: 1
rid: 6
prince: 1
sahara: 1
marmalade: 3
african: 1
vampire: 1
bonus: 1
seriously: 2
sparks: 7
ward: 1
ankles: 3
garlic: 2
lesson: 7
needle: 2
cloak: 54
speared: 1
firsthand: 1
furniture: 1
payin: 1
messing: 2
waddling: 1
brocklehurst: 1
toppled: 4
squeak: 2
herfitch: 1
jelly: 1
charms: 7
steep: 3
flitwick: 19
droned: 1
quirrellan: 1
taught: 3
cock: 1
dumpy: 1
blur: 1
toasting: 1
rope: 1
ambition: 2
passageways: 2
muffins: 1
bossy: 2
wheezing: 3
toe: 1
rescued: 1
break: 14
argus: 1
glowed: 2
solid: 7
yesthank: 1
stopper: 1
nailed: 1
conk: 1
sneak: 1
mans: 3
freeze: 1
appeared: 11
violently: 1
tricked: 1
chalk: 3
space: 3
tom: 1
rugs: 1
study: 8
addressed: 4
baskets: 1
tovisit: 1
believes: 2
smarmy: 1
gingerly: 1
politely: 1
rickety: 1
hocus: 2
puffed: 1
drain: 1
itthen: 1
painfullyand: 1
heavier: 2
awarded: 3
destiny: 1
squares: 3
exasperated: 1
pairs: 4
chewing: 1
touches: 2
getoff: 1
dearly: 1
velvet: 1
towersthey: 1
directed: 1
percent: 1
de: 2
armchairs: 4
timethe: 1
reveal: 2
draconis: 1
caput: 1
bane: 15
shaves: 1
depressed: 1
portrait: 14
gloatingly: 1
firsties: 2
ceiling: 20
cackle: 1
sink: 2
reports: 1
poltergeist: 2
ahead: 12
heywherere: 1
rumbled: 1
farther: 1
bed: 45
yawning: 3
kidhere: 1
ensnaring: 1
friar: 4
doorways: 1
trot: 1
beyond: 1
conducted: 1
march: 1
pass: 4
spinnetpasses: 1
parvati: 4
funeral: 1
packing: 2
singing: 3
restand: 1
forgotjust: 1
fluffso: 1
bare: 2
scabby: 1
foodll: 1
baldor: 1
blast: 2
bags: 4
pleasewhether: 1
hogwartsteach: 1
bellowedhogwarts: 1
smiles: 3
somewherethe: 1
yellowish: 3
hooch: 11
unwrapped: 5
contact: 5
finds: 4
subtle: 1
remind: 1
itdead: 1
gloom: 3
caretaker: 2
filch: 46
tuck: 1
toperised: 1
notices: 1
watered: 1
wasquidditch: 1
treat: 1
fed: 2
refereeing: 3
phials: 1
timeespecially: 1
toeveryone: 1
snape: 139
looka: 1
nnothing: 1
ouch: 1
quirrells: 21
bad: 28
dreading: 2
deeply: 4
enjoys: 2
ido: 1
saidbut: 1
punching: 3
food: 10
lessons: 11
crammed: 2
bravely: 2
accidentally: 2
meringue: 1
offered: 4
monk: 1
spat: 2
mood: 4
enid: 1
tricky: 3
drownedbut: 1
algie: 3
hurtyou: 1
dads: 1
trifle: 2
trances: 1
tarts: 1
pies: 1
blinked: 5
bean: 3
apple: 1
catcalling: 1
desserts: 2
relation: 1
gaunt: 1
unfortunate: 1
unbearablehes: 1
tune: 2
barons: 3
bloody: 9
slytherins: 13
win: 9
shiny: 4
saidsonew: 1
coughed: 1
hinge: 1
chat: 3
gasped: 19
shrunk: 1
miffed: 1
picture: 2
interrupted: 3
finnigan: 6
youyoure: 1
ccant: 1
alicia: 1
flushed: 4
supporting: 1
tower: 13
sinks: 1
resident: 1
peas: 3
fries: 1
lamb: 1
bluebell: 1
chops: 2
noses: 7
sneezed: 1
pork: 1
uncertainly: 2
hea: 1
tweak: 1
spirits: 2
otherwise: 1
curtain: 1
blubber: 1
nitwit: 1
plate: 4
seenthen: 1
prefects: 5
scroll: 1
hood: 1
pointy: 1
blaise: 1
